,z3-base,z3-base,z3-base,z3-base,z3-base,z3-lc-first,z3-lc-first,z3-lc-first,z3-lc-first,z3-lc-first,z3-lc-first,z3-lc-first,z3-lc-later,z3-lc-later,z3-lc-later,z3-lc-later,z3-lc-later,z3-lc-later,z3-lc-later
,runtime,peak_memory_kbytes,answer,arith-nra-calls,arith-nla-calls,runtime,peak_memory_kbytes,answer,arith-nra-calls,arith-nla-calls,arith-check-assignment-calls,arith-used-check-assignment,runtime,peak_memory_kbytes,answer,arith-nra-calls,arith-nla-calls,arith-check-assignment-calls,arith-used-check-assignment
AProVE/aproveSMT3352863488010942798.smt2,425,44736,unsat,,,447,42676,unsat,,,,0,436,42680,unsat,,,,0
AProVE/aproveSMT8056030040600901039.smt2,63027,3072,timeout,,,63028,3840,timeout,,,,0,63026,3840,timeout,,,,0
AProVE/aproveSMT5225416935879635020.smt2,476,42684,sat,9.0,47.0,468,42692,sat,9.0,47.0,,0,498,41908,sat,9.0,47.0,,0
AProVE/aproveSMT5907789494169960967.smt2,1947,42684,unsat,95.0,364.0,1524,41932,unsat,95.0,364.0,,0,1845,43452,unsat,95.0,364.0,,0
AProVE/aproveSMT6810683911432303291.smt2,446,42684,unsat,10.0,21.0,485,45496,unsat,10.0,21.0,,0,449,42688,unsat,10.0,21.0,,0
AProVE/aproveSMT2499956049385713736.smt2,456,45704,sat,1.0,2.0,516,43464,sat,1.0,2.0,,0,409,41896,sat,1.0,2.0,,0
AProVE/aproveSMT8677323562739420602.smt2,337,42700,sat,,,459,43444,sat,,,,0,428,43472,sat,,,,0
AProVE/aproveSMT5196778858287198498.smt2,357,43464,sat,,1.0,435,44720,sat,,1.0,,0,487,42668,sat,,1.0,,0
AProVE/aproveSMT5572263950762726691.smt2,443,42676,sat,,,428,42684,sat,,,,0,440,42684,sat,,,,0
AProVE/aproveSMT4085544463172435973.smt2,519,45688,sat,24.0,136.0,568,41132,sat,24.0,136.0,,0,443,43456,sat,24.0,136.0,,0
AProVE/aproveSMT4412250936998075275.smt2,417,42680,sat,1.0,5.0,443,43468,sat,1.0,5.0,,0,503,43472,sat,1.0,5.0,,0
